language,percentage,population(100m),sim
pap,0.001,0.02,0.7567567567567567
hau,0.002,0.05,0.7538191051195527
heb,0.015,0.09,0.7514185566237653
ces,0.02,0.1,0.7397954428741078
hat,0.002,0.05,0.7297297297297297
ars,0.01,0.1,0.7278253428740509
ary,0.01,0.1,0.7270477053176553
gle,0.005,0.05,0.7200640085345977
apc,0.01,0.05,0.7045670884515312
yue,0.04,0.72,0.7027027027027026
zsm,0.05,3.2,0.7021468875035631
acq,0.01,0.05,0.6939542359352535
mlt,0.002,0.05,0.6939542359352535
lit,0.01,0.03,0.6932198240501807
sun,0.005,0.1,0.6903452589658139
aeb,0.01,0.05,0.6862003139542205
kat,0.01,0.04,0.6849174907329854
ban,0.01,0.03,0.6791193846611165
luo,0.001,0.03,0.6756756756756757
snd,0.01,0.15,0.6675450157520258
bug,0.001,0.01,0.6603302477064306
min,0.01,0.02,0.6603302477064306
bjn,0.001,0.01,0.6582183780869638
dyu,0.001,0.01,0.6575959492214292
ajp,0.01,0.05,0.6544613235110215
tir,0.01,0.04,0.6544613235110215
mri,0.003,0.01,0.6486486486486487
hne,0.001,0.1,0.6443860762255925
arz,0.01,0.05,0.641870207453871
kab,0.01,0.01,0.641870207453871
tha,0.01,0.07,0.639362013091006
wol,0.001,0.01,0.6391355165332376
tzm,0.001,0.01,0.6341828617898012
khm,0.01,0.02,0.6303152364470475
hye,0.01,0.03,0.6302220152328355
ace,0.001,0.01,0.6296001877353566
war,0.001,0.01,0.6296001877353566
kas,0.01,0.01,0.6267652632048752
eus,0.01,0.03,0.6234814790245188
pag,0.001,0.01,0.6216216216216216
lao,0.001,0.01,0.6200655251253673
ory,0.005,0.1,0.6161953991557162
pan,0.005,0.1,0.6126788517448398
ceb,0.001,0.01,0.6113470158144011
ilo,0.001,0.01,0.6113470158144011
shn,0.001,0.01,0.6103001034050513
tgl,0.005,0.05,0.6088155473182092
taq,0.001,0.01,0.6088155473182092
mos,0.001,0.01,0.6054728454665549
dik,0.001,0.01,0.60279628678631
san,0.01,0.01,0.6016946526766803
sat,0.01,0.01,0.6016946526766803
jav,0.01,0.1,0.601133397309916
yor,0.01,0.1,0.6003002251876642
som,0.005,0.01,0.5978565316465418
acm,0.01,0.05,0.5948179165159316
awa,0.001,0.01,0.5948179165159316
ibo,0.001,0.04,0.5920780681563309
pbt,0.01,0.1,0.5905205908575614
amh,0.01,0.01,0.5881716976750462
smo,0.01,0.02,0.5867188217689314
npi,0.005,0.05,0.5834482328466172
ayr,0.001,0.01,0.579147939141922
mag,0.001,0.01,0.5766240421484853
fon,0.001,0.01,0.5753964555687505
nus,0.001,0.01,0.5753964555687505
sag,0.001,0.01,0.5723638070321424
prs,0.001,0.05,0.57186276940104
mar,0.005,0.2,0.5648457825594064
tgk,0.001,0.05,0.5648457825594064
sin,0.001,0.01,0.558080918375025
fij,0.001,0.01,0.5557700143767283
kor,0.01,0.51,0.5528230328172892
uzn,0.001,0.05,0.5528230328172892
bam,0.001,0.01,0.5479966243511909
crh,0.001,0.01,0.5479966243511909
lin,0.001,0.01,0.5479966243511909
azb,0.001,0.01,0.5391709742612516
mal,0.01,0.35,0.5356896807128709
sot,0.001,0.01,0.5356896807128709
azj,0.001,0.05,0.5333807470626649
kan,0.01,0.45,0.5333807470626649
kmr,0.001,0.01,0.5333807470626649
